item_id;definition;type;category;lexical_category;lexical_class;uni_lemma;complexity_category;num_item_id
item_279;lekegrind;word;furniture_rooms;nouns;nouns;play pen;;279
item_280;ovn;word;furniture_rooms;nouns;nouns;oven;;280
item_281;PC;word;furniture_rooms;nouns;nouns;NA;;281
item_282;potte;word;furniture_rooms;nouns;nouns;potty;;282
item_283;rom;word;furniture_rooms;nouns;nouns;NA;;283
item_284;seng;word;furniture_rooms;nouns;nouns;bed;;284
item_285;skap;word;furniture_rooms;nouns;nouns;NA;;285
item_286;skuff;word;furniture_rooms;nouns;nouns;drawer;;286
item_287;sofa;word;furniture_rooms;nouns;nouns;couch;;287
item_288;soverom;word;furniture_rooms;nouns;nouns;bedroom;;288
item_289;stol;word;furniture_rooms;nouns;nouns;chair;;289
item_290;stue;word;furniture_rooms;nouns;nouns;living room;;290
item_291;terrasse;word;furniture_rooms;nouns;nouns;NA;;291
item_292;tørketrommel;word;furniture_rooms;nouns;nouns;NA;;292
item_293;trapp;word;furniture_rooms;nouns;nouns;stairs;;293
item_294;TV;word;furniture_rooms;nouns;nouns;tv;;294
item_295;vask;word;furniture_rooms;nouns;nouns;sink;;295
item_296;vaskemaskin;word;furniture_rooms;nouns;nouns;NA;;296
item_297;vindu;word;furniture_rooms;nouns;nouns;window;;297
item_298;badebasseng;word;outside;nouns;nouns;NA;;298
item_299;bakgård;word;outside;nouns;nouns;NA;;299
item_300;blomst;word;outside;nouns;nouns;flower;;300
item_301;fjell;word;outside;nouns;nouns;NA;;301
item_302;flagg;word;outside;nouns;nouns;NA;;302
item_303;fortau;word;outside;nouns;nouns;NA;;303
item_304;gress;word;outside;nouns;nouns;NA;;304
item_305;gressklipper;word;outside;nouns;nouns;NA;;305
item_306;himmel;word;outside;nouns;nouns;sky;;306
item_307;huske;word;outside;nouns;nouns;swing (object);;307
item_308;kjelke;word;outside;nouns;nouns;NA;;308
item_309;måne;word;outside;nouns;nouns;moon;;309
item_310;pinne;word;outside;nouns;nouns;NA;;310
item_311;regn;word;outside;nouns;nouns;rain;;311
item_312;sandkasse;word;outside;nouns;nouns;NA;;312
item_313;sklie;word;outside;nouns;nouns;slide (object);;313
item_314;skyer;word;outside;nouns;nouns;NA;;314
item_315;snø;word;outside;nouns;nouns;snow;;315
item_316;snømann;word;outside;nouns;nouns;NA;;316
item_317;sol;word;outside;nouns;nouns;sun;;317
item_318;spade;word;outside;nouns;nouns;shovel;;318
item_319;steiner;word;outside;nouns;nouns;rock (object);;319
item_320;stige;word;outside;nouns;nouns;NA;;320
item_321;stjerner;word;outside;nouns;nouns;star;;321
item_322;tak;word;outside;nouns;nouns;NA;;322
item_323;trampoline;word;outside;nouns;nouns;NA;;323
item_324;tre;word;outside;nouns;nouns;tree;;324
item_325;vann;word;outside;nouns;nouns;water (not beverage);;325
item_326;vannslange;word;outside;nouns;nouns;NA;;326
item_327;vei;word;outside;nouns;nouns;NA;;327
item_328;vind;word;outside;nouns;nouns;NA;;328
item_329;bensinstasjon;word;places;other;other;NA;;329
item_330;bondegård;word;places;other;other;NA;;330
item_331;butikk;word;places;other;other;store;;331
item_332;byen;word;places;other;other;NA;;332
item_333;campingplass;word;places;other;other;NA;;333
item_334;dyrehage;word;places;other;other;zoo;;334
item_335;fest;word;places;other;other;party;;335
item_336;hage;word;places;other;other;garden;;336
item_337;hjem;word;places;other;other;home;;337
item_338;hus;word;places;other;other;house;;338
item_339;jobb;word;places;other;other;work (place);;339
item_340;kino;word;places;other;other;NA;;340
item_341;kirke;word;places;other;other;church;;341
item_342;landet;word;places;other;other;NA;;342
item_343;lekeplass;word;places;other;other;NA;;343
item_344;park;word;places;other;other;park;;344
item_345;sirkus;word;places;other;other;NA;;345
item_346;skogen;word;places;other;other;NA;;346
item_347;skole;word;places;other;other;school;;347
item_348;strand;word;places;other;other;beach;;348
item_349;svømmehall;word;places;other;other;pool;;349
item_350;ut;word;places;other;other;NA;;350
item_351;baby;word;people;other;other;baby;;351
item_352;barn;word;people;other;other;child;;352
item_353;barnets navn;word;people;other;other;child's own name;;353
item_354;barnevaktens navn;word;people;other;other;NA;;354
item_355;bestefar;word;people;other;other;grandpa;;355
item_356;bestemor;word;people;other;other;grandma;;356
item_357;bonde;word;people;other;other;NA;;357
item_358;brannmann;word;people;other;other;firefighter;;358
item_359;bror;word;people;other;other;brother;;359
item_360;cowboy;word;people;other;other;NA;;360
item_361;dame;word;people;other;other;lady;;361
item_362;doktor;word;people;other;other;NA;;362
item_363;farfar;word;people;other;other;grandpa;;363
item_364;farmor;word;people;other;other;grandma;;364
item_365;folk;word;people;other;other;NA;;365
item_366;gutt;word;people;other;other;boy;;366
item_367;helsesøster;word;people;other;other;NA;;367
item_368;jente;word;people;other;other;girl;;368
item_369;klovn;word;people;other;other;NA;;369
item_370;lærer;word;people;other;other;NA;;370
item_371;mamma/mor;word;people;other;other;mommy;;371
item_372;mann;word;people;other;other;man;;372
item_373;mennesker;word;people;other;other;person;;373
item_374;morfar;word;people;other;other;grandpa;;374
item_375;mormor;word;people;other;other;grandma;;375
item_376;navn på kjæledyr;word;people;other;other;NA;;376
item_377;oldefar;word;people;other;other;great grandpa;;377
item_378;oldemor;word;people;other;other;great grandma;;378
item_379;onkel;word;people;other;other;uncle;;379
item_380;pappa/far;word;people;other;other;daddy;;380
